[env] host=stud-000 date=Fri Nov 21 09:51:44 CET 2025
[env] RUN_DIR=/home/canelo/uncertainty_quantification/outputs/trainings/training_prune2_new_ds_base_point_20251120-1706/point_300_epochs_200ep_s1_20251121-095142
[model] in_dim=4772 hidden=[512, 512, 256] head=point params=2,840,577
[train] host=stud-000 device=cuda head=point epochs=300
[epoch 195] train_loss=1401.7954 val_loss=2460.1156 val_mae_orig=2457.2991 obj(val_mae_orig)=2457.2991
[epoch 196] train_loss=1388.0750 val_loss=2469.4881 val_mae_orig=2466.5513 obj(val_mae_orig)=2466.5513
[epoch 197] train_loss=1408.4493 val_loss=2486.3723 val_mae_orig=2483.6147 obj(val_mae_orig)=2483.6147
[epoch 198] train_loss=1401.4235 val_loss=2500.9031 val_mae_orig=2498.4578 obj(val_mae_orig)=2498.4578
[epoch 199] train_loss=1411.9079 val_loss=2466.8642 val_mae_orig=2464.5637 obj(val_mae_orig)=2464.5637
[epoch 200] train_loss=1397.4430 val_loss=2502.1817 val_mae_orig=2499.4258 obj(val_mae_orig)=2499.4258
[epoch 201] train_loss=1390.1550 val_loss=2465.2122 val_mae_orig=2461.9814 obj(val_mae_orig)=2461.9814
[epoch 202] train_loss=1401.2341 val_loss=2487.3317 val_mae_orig=2485.0459 obj(val_mae_orig)=2485.0459
[epoch 203] train_loss=1390.3460 val_loss=2467.7991 val_mae_orig=2465.4961 obj(val_mae_orig)=2465.4961
[epoch 204] train_loss=1400.4412 val_loss=2502.3211 val_mae_orig=2499.7490 obj(val_mae_orig)=2499.7490
[epoch 205] train_loss=1404.6821 val_loss=2482.0202 val_mae_orig=2478.9490 obj(val_mae_orig)=2478.9490
[epoch 206] train_loss=1385.2603 val_loss=2492.9458 val_mae_orig=2490.2351 obj(val_mae_orig)=2490.2351
[epoch 207] train_loss=1397.8297 val_loss=2468.0939 val_mae_orig=2465.4670 obj(val_mae_orig)=2465.4670
[epoch 208] train_loss=1388.2666 val_loss=2500.2776 val_mae_orig=2497.7952 obj(val_mae_orig)=2497.7952
[epoch 209] train_loss=1393.7409 val_loss=2490.4742 val_mae_orig=2487.5063 obj(val_mae_orig)=2487.5063
[epoch 210] train_loss=1392.7046 val_loss=2506.7346 val_mae_orig=2504.0728 obj(val_mae_orig)=2504.0728
[epoch 211] train_loss=1392.6607 val_loss=2467.9163 val_mae_orig=2465.3315 obj(val_mae_orig)=2465.3315
[epoch 212] train_loss=1393.6475 val_loss=2475.0174 val_mae_orig=2472.0110 obj(val_mae_orig)=2472.0110
[epoch 213] train_loss=1392.8307 val_loss=2477.9161 val_mae_orig=2474.5142 obj(val_mae_orig)=2474.5142
[epoch 214] train_loss=1396.5738 val_loss=2490.9406 val_mae_orig=2488.2698 obj(val_mae_orig)=2488.2698
[epoch 215] train_loss=1394.5179 val_loss=2447.3872 val_mae_orig=2444.0542 obj(val_mae_orig)=2444.0542
